Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
REPUBLIC OF UZBEKISTAN,"""Youth Union""",“Kamolot”,"""Kamalak""","""Youth Wing""","""Youth Union"""
When was the Action Strategy of the Republic of Uzbekistan adopted?,February 2017,February 2018,February 2016,February 2019,February 2017
At what age can a citizen of the Republic of Uzbekistan be elected as a deputy of the Oliy Majlis?,From 25 years old,From 30 years old,From 35 years old,From 21 years old,From 25 years old
Which countries competed for the territory of Turkestan in the late 19th and early 20th centuries?,Russia and England,Russia and China,Russia and Afghanistan,Russia and India,Russia and England
Are the works done to preserve and perpetuate the memory of Jaloliddin Manguberdi during the years of independence not in line with reality?,A monument was erected in Tashkent,The Order of Jaloliddin Manguberdi was approved,"In 1999, the 800th anniversary of the great commander was celebrated",A monument to Jaloliddin Manguberdi was erected,A monument was erected in Tashkent
"Complete the sentence: ""From a strong state - ...""","""towards a strong civil society""",“Towards a strong state and a civil legal society”;,"""towards a strong society and the market;",“Towards a strong state and the people”;,"""towards a strong civil society"""
"According to the Constitution of the Republic of Uzbekistan, who can act on behalf of the people of Uzbekistan?",President and Oliy Majlis,President and Cabinet of Ministers,Cabinet of Ministers and Oliy Majlis,Oliy Majlis,President and Oliy Majlis
The only source of state power in Uzbekistan is...,People,Cabinet of Ministers,Senate,Oliy Majlis,People
"In the Republic of Uzbekistan, all .... (complete the sentence)",Have the right to profess any religion or not to profess any religion,are obliged to profess any religion,have the right to profess only the religion permitted by the state,are obliged to be an atheist,Have the right to profess any religion or not to profess any religion
"Which of the reforms listed in the five principles of the ""Uzbek model"" shows the essence of an evolutionary nature?",Gradual transition to market relations;,The state as the main reformer and a gradual transition to market relations;,Gradual transition to market relations and the primacy of the role of the state as the main reformer;,Achieving the rule of law in all aspects of public life;,Gradual transition to market relations;
A referendum is...,A nationwide vote to resolve an important issue in the life of the state and society;,Popular elections to local representative bodies;,Adoption of state programs by nationwide vote;,Resolving issues of state foreign policy by nationwide vote;,A nationwide vote to resolve an important issue in the life of the state and society;
Which of the following rights are included in personal rights and freedoms?,right to life and personal integrity,"right to work, property and free choice of occupation;","right to participate in political processes, in the management of public and state affairs;",Participation in rallies,right to life and personal integrity
A voluntary political organization that represents the interests of certain social groups or strata and strives for power is...,Political party,Social movement,President and Oliy Majlis,Political association,Political party
